,Site,Cert,Link
0,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/reports-hub
1,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/research/wp-content/uploads/2009/08/cdp.pdf
2,https://www.microsoft.com/,CDP,https://www.microsoft.com/MEA/Together/customer-insights.aspx
3,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement
4,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/procurement/supplier-conduct.aspx
5,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-gb/industry/blog/retail/2020/07/24/how-a-modern-data-strategy-can-position-your-business-for-success-in-the-new-normal/
6,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/industry/blog/general/2021/11/03/microsoft-cloud-for-sustainability-tackling-net-zero-with-data/
7,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition
8,https://www.microsoft.com/,CDP,https://www.microsoft.com/pki/mscorp/cps/Microsoft%20DSRE%20PKI%20CP-CPS%20for%20TLS%20Ver%202.2%20March%202019/Microsoft%20DSRE%20PKI%20CP-CPS%20for%20TLS%20Ver%202.2%20March%202019.htm
9,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/legal/compliance/faq
10,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/2019/01/10/best-practices-for-securely-using-microsoft-365-the-cis-microsoft-365-foundations-benchmark-now-available/
11,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/2017/10/12/easily-create-securely-configured-virtual-machines/
12,https://www.microsoft.com/,CIS,https://www.microsoft.com/es-xl/latam-partner-one/caribbean/news/windows-server-2022-availability-announcement
13,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/ijcai13-grading.pdf
14,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/business/threat-protection/microsoft-defender-vulnerability-management
15,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/secure-score/
16,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/2020/01/23/azure-security-benchmark-90-security-compliance-best-practices-azure-workloads/
17,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/compliance/page/3/
18,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/research/publication/a-bayesian-framework-to-account-for-complex-non-genetic-factors-in-gene-expression-levels-greatly-increases-power-in-eqtl-studies/
19,https://www.microsoft.com/,CIS,https://www.microsoft.com/en-us/security/blog/2022/05/11/center-for-threat-informed-defense-microsoft-and-industry-partners-streamline-mitre-attck-matrix-evaluation-for-defenders/
20,https://www.microsoft.com/,CMMC,https://www.microsoft.com/en-us/download/details.aspx?id=102536
21,https://www.microsoft.com/,CMMC,https://www.microsoft.com/en-us/security/blog/2021/08/30/prepare-for-cmmc-compliance-with-microsoft/
22,https://www.microsoft.com/,CMMC,https://www.microsoft.com/en-us/download/details.aspx?id=103401
23,https://www.microsoft.com/,CMMC,https://www.microsoft.com/cms/api/am/binary/RE54xON
